frequency,raw
20,1.38
20.2,1.37
20.4,1.36
20.61,1.34
20.81,1.33
21.02,1.32
21.23,1.3
21.44,1.29
21.66,1.28
21.87,1.27
22.09,1.25
22.31,1.24
22.54,1.23
22.76,1.21
22.99,1.2
23.22,1.19
23.45,1.17
23.69,1.16
23.92,1.15
24.16,1.13
24.4,1.12
24.65,1.1
24.89,1.09
25.14,1.08
25.39,1.07
25.65,1.05
25.91,1.04
26.16,1.03
26.43,1.02
26.69,1.01
26.96,0.99
27.23,0.98
27.5,0.97
27.77,0.96
28.05,0.94
28.33,0.93
28.62,0.92
28.9,0.9
29.19,0.89
29.48,0.88
29.78,0.86
30.08,0.85
30.38,0.84
30.68,0.83
30.99,0.82
31.3,0.8
31.61,0.79
31.93,0.78
32.24,0.76
32.57,0.75
32.89,0.74
33.22,0.73
33.55,0.71
33.89,0.7
34.23,0.69
34.57,0.67
34.92,0.66
35.27,0.64
35.62,0.63
35.97,0.62
36.33,0.61
36.7,0.6
37.06,0.59
37.43,0.58
37.81,0.56
38.19,0.55
38.57,0.54
38.95,0.53
39.34,0.52
39.74,0.5
40.14,0.49
40.54,0.48
40.94,0.46
41.35,0.45
41.76,0.44
42.18,0.42
42.6,0.41
43.03,0.4
43.46,0.39
43.9,0.38
44.33,0.36
44.78,0.35
45.23,0.34
45.68,0.33
46.13,0.32
46.6,0.31
47.06,0.3
47.53,0.28
48.01,0.27
48.49,0.26
48.97,0.25
49.46,0.24
49.96,0.23
50.46,0.21
50.96,0.2
51.47,0.19
51.99,0.18
52.51,0.17
53.03,0.15
53.56,0.14
54.1,0.13
54.64,0.12
55.18,0.1
55.74,0.09
56.29,0.08
56.86,0.07
57.42,0.06
58,0.04
58.58,0.03
59.16,0.02
59.76,0.01
60.35,0
60.96,-0.01
61.57,-0.03
62.18,-0.04
62.8,-0.05
63.43,-0.06
64.07,-0.07
64.71,-0.09
65.35,-0.1
66.01,-0.11
66.67,-0.12
67.33,-0.13
68.01,-0.14
68.69,-0.16
69.37,-0.17
70.07,-0.18
70.77,-0.19
71.48,-0.2
72.19,-0.21
72.91,-0.22
73.64,-0.24
74.38,-0.25
75.12,-0.26
75.87,-0.27
76.63,-0.28
77.4,-0.29
78.17,-0.31
78.95,-0.32
79.74,-0.33
80.54,-0.34
81.35,-0.35
82.16,-0.36
82.98,-0.37
83.81,-0.38
84.65,-0.39
85.5,-0.4
86.35,-0.41
87.22,-0.43
88.09,-0.44
88.97,-0.45
89.86,-0.46
90.76,-0.47
91.66,-0.48
92.58,-0.49
93.51,-0.5
94.44,-0.51
95.39,-0.52
96.34,-0.53
97.3,-0.54
98.28,-0.55
99.26,-0.57
100.25,-0.58
101.25,-0.59
102.27,-0.6
103.29,-0.61
104.32,-0.62
105.37,-0.63
106.42,-0.64
107.48,-0.65
108.56,-0.66
109.64,-0.67
110.74,-0.68
111.85,-0.69
112.97,-0.7
114.1,-0.71
115.24,-0.72
116.39,-0.73
117.55,-0.74
118.73,-0.75
119.92,-0.76
121.12,-0.77
122.33,-0.78
123.55,-0.78
124.79,-0.79
126.03,-0.8
127.29,-0.81
128.57,-0.82
129.85,-0.83
131.15,-0.84
132.46,-0.85
133.79,-0.86
135.12,-0.87
136.48,-0.88
137.84,-0.89
139.22,-0.9
140.61,-0.91
142.02,-0.92
143.44,-0.93
144.87,-0.93
146.32,-0.94
147.78,-0.95
149.26,-0.96
150.75,-0.97
152.26,-0.98
153.78,-0.98
155.32,-0.99
156.88,-1
158.44,-1.01
160.03,-1.02
161.63,-1.02
163.24,-1.03
164.88,-1.03
166.53,-1.04
168.19,-1.05
169.87,-1.05
171.57,-1.06
173.29,-1.07
175.02,-1.07
176.77,-1.08
178.54,-1.08
180.32,-1.09
182.13,-1.09
183.95,-1.1
185.79,-1.1
187.65,-1.11
189.52,-1.11
191.42,-1.12
193.33,-1.13
195.27,-1.13
197.22,-1.14
199.19,-1.14
201.18,-1.15
203.19,-1.15
205.23,-1.15
207.28,-1.16
209.35,-1.16
211.44,-1.16
213.56,-1.17
215.69,-1.17
217.85,-1.17
220.03,-1.18
222.23,-1.18
224.45,-1.19
226.7,-1.19
228.96,-1.19
231.25,-1.2
233.57,-1.2
235.9,-1.2
238.26,-1.21
240.64,-1.21
243.05,-1.21
245.48,-1.21
247.93,-1.21
250.41,-1.22
252.92,-1.22
255.45,-1.22
