frequency	raw
20	-4.1
20.2	-4.1
20.4	-4.1
20.61	-4.1
20.81	-4.1
21.02	-4.1
21.23	-4.1
21.44	-4.1
21.66	-4.1
21.87	-4.1
22.09	-4.1
22.31	-4.1
22.54	-4.1
22.76	-4.1
22.99	-4.1
23.22	-4.1
23.45	-4.1
23.69	-4.1
23.92	-4.1
24.16	-4.1
24.4	-4.1
24.65	-4.1
24.89	-4.1
25.14	-4.1
25.39	-4.1
25.65	-4.1
25.91	-4.1
26.16	-4.1
26.43	-4.1
26.69	-4.1
26.96	-4.1
27.23	-4.1
27.5	-4.1
27.77	-4.1
28.05	-4.1
28.33	-4.1
28.62	-4.1
28.9	-4.1
29.19	-4.1
29.48	-4.1
29.78	-4.1
30.08	-4.1
30.38	-4.1
30.68	-4.1
30.99	-4.1
31.3	-4.1
31.61	-4.1
31.93	-4.1
32.24	-4.1
32.57	-4.1
32.89	-4.1
33.22	-4.1
33.55	-4.1
33.89	-4.1
34.23	-4.1
34.57	-4.1
34.92	-4.1
35.27	-4.1
35.62	-4.1
35.97	-4.1
36.33	-4.1
36.7	-4.1
37.06	-4.1
37.43	-4.1
37.81	-4.1
38.19	-4.1
38.57	-4.1
38.95	-4.1
39.34	-4.1
39.74	-4.1
40.14	-4.1
40.54	-4.1
40.94	-4.1
41.35	-4.1
41.76	-4.1
42.18	-4.1
42.6	-4.1
43.03	-4.1
43.46	-4.1
43.9	-4.1
44.33	-4.1
44.78	-4.1
45.23	-4.1
45.68	-4.1
46.13	-4.1
46.6	-4.1
47.06	-4.1
47.53	-4.1
48.01	-4.1
48.49	-4.1
48.97	-4.1
49.46	-4.1
49.96	-4.1
50.46	-4.1
50.96	-4.1
51.47	-4.1
51.99	-4.1
52.51	-4.1
53.03	-4.1
53.56	-4.1
54.1	-4.1
54.64	-4.1
55.18	-4.1
55.74	-4.1
56.29	-4.1
56.86	-4.1
57.42	-4.1
58	-4.1
58.58	-4.1
59.16	-4.1
59.76	-4.1
60.35	-4.1
60.96	-4.1
61.57	-4.1
62.18	-4.1
62.8	-4.1
63.43	-4.1
64.07	-4.1
64.71	-4.1
65.35	-4.1
66.01	-4.1
66.67	-4.1
67.33	-4.1
68.01	-4.1
68.69	-4.1
69.37	-4.1
70.07	-4.1
70.77	-4.1
71.48	-4.1
72.19	-4.1
72.91	-4.1
73.64	-4.1
74.38	-4.1
75.12	-4.1
75.87	-4.1
76.63	-4.1
77.4	-4.1
78.17	-4.1
78.95	-4.1
79.74	-4.1
80.54	-4.1
81.35	-4.1
82.16	-4.1
82.98	-4.1
83.81	-4.1
84.65	-4.1
85.5	-4.1
86.35	-4.1
87.22	-4.1
88.09	-4.1
88.97	-4.1
89.86	-4.1
90.76	-4.1
91.66	-4.1
92.58	-4.1
93.51	-4.1
94.44	-4.1
95.39	-4.1
96.34	-4.1
97.3	-4.1
98.28	-4.1
99.26	-4.1
100.25	-4.1
101.25	-4.09
102.27	-4.08
103.29	-4.07
104.32	-4.07
105.37	-4.06
106.42	-4.05
107.48	-4.04
108.56	-4.03
109.64	-4.02
110.74	-4.01
111.85	-4
112.97	-3.99
114.1	-3.99
115.24	-3.98
116.39	-3.97
117.55	-3.96
118.73	-3.95
119.92	-3.94
121.12	-3.93
122.33	-3.92
123.55	-3.91
124.79	-3.91
126.03	-3.9
127.29	-3.89
128.57	-3.88
129.85	-3.87
131.15	-3.86
132.46	-3.86
133.79	-3.85
135.12	-3.84
136.48	-3.83
137.84	-3.82
139.22	-3.82
140.61	-3.81
142.02	-3.8
143.44	-3.79
144.87	-3.78
146.32	-3.78
147.78	-3.77
149.26	-3.76
150.75	-3.75
152.26	-3.74
153.78	-3.74
155.32	-3.73
156.88	-3.72
158.44	-3.71
160.03	-3.7
161.63	-3.69
163.24	-3.69
164.88	-3.68
166.53	-3.67
168.19	-3.66
169.87	-3.65
171.57	-3.64
173.29	-3.63
175.02	-3.62
176.77	-3.61
178.54	-3.61
180.32	-3.6
182.13	-3.59
183.95	-3.58
185.79	-3.57
187.65	-3.56
189.52	-3.55
191.42	-3.54
193.33	-3.53
195.27	-3.52
197.22	-3.52
199.19	-3.51
201.18	-3.5
203.19	-3.49
205.23	-3.48
207.28	-3.47
209.35	-3.46
211.44	-3.45
213.56	-3.44
215.69	-3.44
217.85	-3.43
220.03	-3.42
222.23	-3.41
224.45	-3.4
226.7	-3.39
228.96	-3.38
231.25	-3.37
233.57	-3.36
235.9	-3.36
238.26	-3.35
240.64	-3.34
243.05	-3.33
245.48	-3.32
247.93	-3.31
250.41	-3.3
252.92	-3.29
255.45	-3.28
258	-3.26
260.58	-3.25
263.19	-3.24
265.82	-3.22
268.48	-3.21
271.16	-3.2
273.87	-3.19
276.61	-3.17
279.38	-3.16
282.17	-3.15
284.99	-3.13
287.84	-3.12
290.72	-3.11
293.63	-3.09
296.57	-3.08
299.53	-3.07
302.53	-3.06
305.55	-3.04
308.61	-3.03
311.69	-3.02
