* Freq(Hz)	 SPL(dB)
20	4.538
20.299999	4.543
20.6	4.547
20.9	4.549
21.200001	4.55
21.4	4.551
21.799999	4.553
22	4.554
22.4	4.555
22.700001	4.556
23	4.557
23.299999	4.558
23.6	4.559
24	4.56
24.299999	4.561
24.700001	4.562
25	4.563
25.4	4.563
25.799999	4.564
26.200001	4.566
26.5	4.566
26.9	4.567
27.200001	4.567
27.6	4.568
28	4.568
28.5	4.569
29	4.57
29.5	4.57
30	4.57
30.4	4.57
30.700001	4.57
31.1	4.571
31.5	4.571
32	4.571
32.5	4.57
33	4.569
33.5	4.567
34	4.566
34.5	4.565
35	4.563
35.5	4.562
36	4.56
36.5	4.558
37	4.556
37.5	4.553
38.200001	4.549
38.700001	4.546
39.5	4.54
40	4.536
40.599998	4.531
41.200001	4.526
41.799999	4.521
42.5	4.513
43.099998	4.507
43.700001	4.5
44.400002	4.491
45	4.483
45.5	4.476
46.200001	4.466
46.799999	4.457
47.5	4.445
48.200001	4.433
48.700001	4.424
49.400002	4.411
50	4.399
50.799999	4.382
51.5	4.367
52.200001	4.35
53	4.331
53.799999	4.311
54.5	4.293
55.200001	4.273
56	4.25
57	4.22
58	4.189
59	4.156
60	4.121
60.799999	4.092
61.5	4.067
62.200001	4.041
63	4.01
64	3.969
65	3.927
66	3.884
67	3.839
68	3.794
69	3.746
70	3.698
71	3.648
72	3.597
73	3.545
74	3.492
75	3.437
76.199997	3.371
77.5	3.297
78.800003	3.222
80	3.152
81.199997	3.081
82.5	3.003
83.800003	2.924
85	2.85
86.199997	2.776
87.5	2.695
88.5	2.633
90	2.539
91.199997	2.463
92.5	2.382
93.800003	2.301
95	2.225
96.199997	2.151
97.5	2.07
98.800003	1.99
100	1.917
101.5	1.826
103	1.735
104.400002	1.652
106	1.559
107.5	1.473
109	1.388
110.599998	1.3
112	1.224
113.800003	1.129
115	1.067
117.199997	0.956
118	0.916
120.599998	0.792
122	0.727
124.099998	0.634
125	0.595
126.5	0.531
128	0.469
131.5	0.332
132	0.314
134	0.241
136	0.172
138	0.105
140	0.041
143	-0.05
145	-0.106
147.5	-0.172
150	-0.235
152.5	-0.293
155	-0.347
157.5	-0.398
160	-0.445
162.5	-0.489
165	-0.53
167.5	-0.567
170	-0.602
172.5	-0.635
175	-0.665
177.5	-0.692
180	-0.718
182.5	-0.741
185	-0.761
187.5	-0.781
190	-0.798
192.5	-0.815
195	-0.83
197.5	-0.843
200	-0.855
203	-0.868
206	-0.879
209	-0.889
212	-0.898
214	-0.902
218	-0.909
220	-0.911
224	-0.915
227	-0.917
230	-0.917
233	-0.917
236	-0.917
240	-0.915
243	-0.912
247	-0.908
250	-0.905
254	-0.898
258	-0.891
262	-0.883
265	-0.877
269	-0.867
272	-0.86
276	-0.849
280	-0.839
285	-0.826
290	-0.812
295	-0.798
300	-0.781
304	-0.766
307	-0.755
311	-0.74
315	-0.725
320	-0.707
325	-0.689
330	-0.671
335	-0.653
340	-0.635
345	-0.617
350	-0.598
355	-0.579
360	-0.56
365	-0.54
370	-0.519
375	-0.499
382	-0.47
387	-0.448
395	-0.414
400	-0.392
406	-0.365
412	-0.338
418	-0.31
425	-0.277
431	-0.249
437	-0.22
444	-0.186
450	-0.157
455	-0.133
462	-0.099
468	-0.069
475	-0.034
482	0
487	0.025
494	0.06
500	0.09
508	0.129
515	0.164
522	0.198
530	0.236
538	0.275
545	0.309
552	0.342
560	0.379
570	0.424
580	0.468
590	0.512
600	0.553
608	0.585
615	0.613
622	0.64
630	0.67
640	0.707
650	0.742
660	0.775
670	0.808
680	0.839
690	0.869
700	0.898
710	0.926
720	0.953
730	0.979
740	1.004
750	1.028
762	1.056
775	1.085
788	1.114
800	1.139
812	1.164
825	1.191
838	1.217
850	1.242
862	1.266
875	1.293
885	1.315
900	1.348
912	1.376
925	1.407
938	1.44
950	1.472
962	1.506
975	1.544
988	1.584
1000	1.623
1015	1.674
1030	1.728
1044	1.78
1060	1.841
1075	1.9
1090	1.961
1106	2.028
1120	2.087
1138	2.164
1150	2.216
1172	2.312
1180	2.347
1206	2.463
1220	2.525
1241	2.619
1250	2.659
1265	2.726
1280	2.794
1315	2.951
1320	2.973
1340	3.063
1360	3.152
1380	3.241
1400	3.33
1430	3.463
1450	3.553
1475	3.664
1500	3.776
1525	3.888
1550	4.001
1575	4.115
1600	4.23
1625	4.346
1650	4.463
1675	4.582
1700	4.702
1725	4.824
1750	4.948
1775	5.074
1800	5.203
1825	5.335
1850	5.47
1875	5.608
1900	5.75
1925	5.894
1950	6.041
1975	6.19
2000	6.342
2030	6.524
2060	6.707
2090	6.888
2120	7.067
2140	7.184
2180	7.412
2200	7.522
2240	7.733
2270	7.883
2300	8.025
2330	8.159
2360	8.284
2400	8.44
2430	8.548
2470	8.681
2500	8.774
2540	8.888
2580	8.995
2620	9.095
2650	9.166
2690	9.257
2720	9.323
2760	9.407
2800	9.488
2850	9.583
2900	9.671
2950	9.749
3000	9.815
3040	9.859
3070	9.885
3110	9.911
3150	9.926
3200	9.93
3250	9.918
3300	9.891
3350	9.848
3400	9.792
3450	9.724
3500	9.645
3550	9.556
3600	9.46
3650	9.357
3700	9.248
3750	9.134
3820	8.97
3870	8.85
3950	8.654
4000	8.531
4060	8.384
4120	8.238
4180	8.093
4250	7.927
4310	7.789
4370	7.653
4440	7.5
4500	7.373
4550	7.271
4620	7.134
4680	7.021
4750	6.895
4820	6.776
4870	6.695
4940	6.588
5000	6.501
5080	6.393
5150	6.305
5220	6.223
5300	6.136
5380	6.057
5450	5.993
5520	5.935
5600	5.874
5700	5.806
5800	5.747
5900	5.697
6000	5.655
6080	5.628
6150	5.608
6220	5.591
6300	5.576
6400	5.564
6500	5.556
6600	5.555
6700	5.559
6800	5.567
6900	5.577
7000	5.59
7100	5.603
7200	5.617
7300	5.628
7400	5.635
7500	5.637
7620	5.628
7750	5.599
7880	5.548
8000	5.477
8120	5.382
8250	5.254
8380	5.104
8500	4.951
8620	4.785
8750	4.598
8850	4.449
9000	4.221
9120	4.036
9250	3.836
9380	3.634
9500	3.448
9620	3.262
9750	3.061
9880	2.86
10000	2.676
10150	2.447
10300	2.22
10440	2.01
10600	1.773
10750	1.555
10900	1.341
11060	1.118
11200	0.928
11380	0.691
11500	0.539
11720	0.272
11800	0.18
12060	-0.107
12200	-0.251
12410	-0.455
12500	-0.537
12650	-0.667
12800	-0.79
13150	-1.056
13200	-1.092
13400	-1.23
13600	-1.361
13800	-1.488
14000	-1.611
14300	-1.791
14500	-1.911
14750	-2.061
15000	-2.214
15250	-2.37
15500	-2.53
15750	-2.694
16000	-2.864
16250	-3.038
16500	-3.218
16750	-3.402
17000	-3.589
17250	-3.779
17500	-3.971
17750	-4.163
18000	-4.354
18250	-4.544
18500	-4.732
18750	-4.917
19000	-5.111
19250	-5.357
19500	-5.771
19750	-6.453
20000	-7.158
